,name,kkal
0,Свинина,484
1,Говядина,191
2,Баранина,201
3,Телятина,91
4,Кролик,197
5,Курица,161
6,Индейка,192
7,Цыплята,159
8,Утки,348
9,Гуси,359
10,Колбаса вареная "Докторская",257
11,Колбаса вареная "Любительская",311
12,Колбаса вареная "Молочная",243
13,Колбаса полукопченая "Любительская",428
14,Колбаса полукопченая "Московская",402
15,Колбаса полукопченая "Сервелат",423
16,Колбаса сырокопченая "Любительская",511
17,Колбаса сырокопченая "Московская",476
18,Колбаса сырокопченая "Сервелат",453
19,Салями,576
20,Кровянка,261
21,Колбаски охотничьи,325
22,Сосиски куриные,242
23,Сосиски свиные,284
24,Сосиски говяжьи,229
25,Горбуша,151
26,Лосось,200
27,Минтай,67
28,Кета,138
29,Камбала,86
30,Килька,142
31,Корюшка,93
32,Навага,78
33,Сельдь,248
34,Семга,222
35,Скумбрия,158
36,Форель,99
37,Тунец,95
38,Ставрида,119
39,Икра кеты,250
40,Икра минтая,127
41,Икра осетровая,201
42,Икра лещевая,144
43,Кальмар,77
44,Крабовые палочки,73
45,Креветка,85
46,Раки вареные,96
47,Осьминог,74
48,Мидии отварные,53
49,Белые свежие,32
50,Белые сушеные,277
51,Лисички свежие,22
52,Лисички сушеные,268
53,Опята свежие,25
54,Шампиньоны свежие,29
55,Маслята свежие,12
56,Вешенки свежие,34
57,Куриное яйцо,153
58,Перепелиное яйцо,170
59,Утиное яйцо,176
60,Омлет,181
61,Масло растительное льняное,898
62,Масло растительное подсолнечное,899
63,Масло растительное оливковое,898
64,"Масло сливочное 82,5%",747
65,Масло топленое,885
66,Майонез 67%,624
67,Молоко 0%,34
68,Молоко 1%,43
69,"Молоко 2,5%",53
70,"Молоко 3,2%",58
71,Молоко сухое цельное,477
72,Молоко сгущенное,139
73,Кефир 0%,29
74,Кефир 1%,37
75,"Кефир 2,5%",51
76,"Кефир 3,2%",57
77,Сметана 10%,118
78,Сметана 15%,163
79,Сметана 20%,208
80,Творог жирный,236
81,Творог нежирный,89
82,Творог полужирный,156
83,"Ряженка 2,5%",53
84,"Ряженка 4,0%",68
85,"Йогурт 1,5%",65
86,"Йогурт 3,2%",87
87,Сливки 10%,121
88,Сливки 20%,209
89,Сыр сулугуни,293
90,Сыр российский,366
91,Сыр пошехонский,348
92,Овсяная крупа,342
93,Кукурузная крупа,328
94,Ячневая крупа,313
95,Перловая крупа,315
96,Манная крупа,333
97,Гречневая крупа,350
98,Пшеничная крупа,342
99,Рис белый длиннозерный,365
100,Хлеб пшеничный,246
101,Хлеб ржаной,210
102,Сухари пшеничные,327
103,Лаваш армянский,239
104,Батон нарезной,261
105,Баранки,342
106,Сушки,335
107,Булочка,218
108,Огурцы,15
109,Томаты,19
110,Картофель вареный,80
111,Картофель молодой,57
112,Морковь,29
113,Лук репчатый,41
114,Редис,22
115,Кабачки,30
116,Баклажаны,22
117,Свекла,46
118,Капуста белокочанная,31
119,Фасоль,36
120,Редька,33
121,Перец сладкий,25
122,Бананы,87
123,Апельсины,38
124,Яблоки,48
125,Груша,41
126,Персики,42
127,Абрикосы,44
128,Ананас,49
129,Киви,46
130,Лимон,30
131,Хурма,61
132,Мандарин,39
133,Петрушка,45
134,Лук (перо),21
135,Салат,15
136,Щавель,29
137,Шпинат,22
138,Укроп,40
139,Кинза,23
140,Вишня,46
141,Черешня,54
142,Клубника,30
143,Земляника,40
144,Смородина черная,38
145,Малина,43
146,Виноград,73
147,Кизил,42
148,Ежевика,31
149,Арахис,555
150,Семя подсолнечника,582
151,Грецкий орех,662
152,Кешью,647
153,Миндаль,643
154,Фундук,701
155,Фисташки,555
156,Изюм,273
157,Курага,270
158,Финики,277
159,Чернослив,262
160,Яблоки сушеные,275
161,Печенье сдобное,447
162,Пряники,333
163,Зефир,295
164,Конфеты шоколадные,576
165,Мармелад,289
166,Ирис,384
167,Пирожное слоеное,543
168,Пирожное бисквитное,338
169,Чай черный без сахара,0
170,Чай зеленый без сахара,0
171,Кофе с молоком,56
172,Какао на молоке,377
173,Хлебный квас,26
174,Лимонад,24
175,Яблочный сок,42
176,Апельсиновый сок,36
177,Вишневый сок,49
178,Морковный сок,31
179,Пиво безалкогольное,22
180,Энергетический напиток,47
